ave_dist = 0.338444
KLDist  weight    KLDist*weight   Percent
1.001441  0.002461  0.002464           0.73%
0.739543  0.001722  0.001274           0.38%
0.757954  0.001969  0.001492           0.44%
1.004971  0.003199  0.003215           0.95%
0.872788  0.002707  0.002362           0.70%
0.853451  0.004675  0.003990           1.18%
1.197090  0.004429  0.005302           1.57%
1.009014  0.002215  0.002235           0.66%
0.693195  0.003199  0.002217           0.66%
1.107384  0.003445  0.003815           1.13%
0.934254  0.003445  0.003218           0.95%
0.455240  0.001722  0.000784           0.23%
0.869998  0.003691  0.003211           0.95%
0.964430  0.003937  0.003797           1.12%
1.116879  0.004429  0.004947           1.46%
0.914166  0.004429  0.004049           1.20%
1.075296  0.005413  0.005821           1.72%
0.732608  0.005413  0.003966           1.17%
0.906899  0.003691  0.003347           0.99%
0.305061  0.003691  0.001126           0.33%
0.607748  0.007874  0.004785           1.41%
1.277171  0.004921  0.006285           1.86%
0.906596  0.008120  0.007362           2.18%
1.059323  0.004675  0.004953           1.46%
0.422222  0.009350  0.003948           1.17%
0.881470  0.009843  0.008676           2.56%
0.333370  0.006398  0.002133           0.63%
0.519213  0.008366  0.004344           1.28%
0.819370  0.005413  0.004436           1.31%
0.742457  0.005659  0.004202           1.24%
0.367331  0.007874  0.002892           0.85%
0.693971  0.006152  0.004269           1.26%
0.524165  0.007382  0.003869           1.14%
0.439535  0.008858  0.003894           1.15%
0.972605  0.007136  0.006940           2.05%
0.443853  0.009350  0.004150           1.23%
0.412734  0.007874  0.003250           0.96%
0.578819  0.009843  0.005697           1.68%
0.402889  0.013041  0.005254           1.55%
0.308468  0.007136  0.002201           0.65%
0.210416  0.014764  0.003107           0.92%
0.194799  0.010581  0.002061           0.61%
0.202942  0.012549  0.002547           0.75%
0.161700  0.011319  0.001830           0.54%
0.112109  0.014764  0.001655           0.49%
0.218918  0.015994  0.003501           1.03%
0.162726  0.010335  0.001682           0.50%
0.248171  0.012057  0.002992           0.88%
0.030574  0.011319  0.000346           0.10%
0.263522  0.010089  0.002659           0.79%
0.112935  0.019931  0.002251           0.67%
0.031306  0.014272  0.000447           0.13%
0.122561  0.011073  0.001357           0.40%
0.108765  0.015256  0.001659           0.49%
0.089489  0.017717  0.001585           0.47%
0.044944  0.018209  0.000818           0.24%
0.040825  0.017963  0.000733           0.22%
0.081236  0.013533  0.001099           0.32%
0.116286  0.011565  0.001345           0.40%
0.041552  0.014026  0.000583           0.17%
0.040340  0.023130  0.000933           0.28%
0.121185  0.012303  0.001491           0.44%
0.038322  0.016240  0.000622           0.18%
0.094846  0.015994  0.001517           0.45%
0.107621  0.019439  0.002092           0.62%
0.046587  0.022884  0.001066           0.32%
0.088154  0.022638  0.001996           0.59%
0.121872  0.015748  0.001919           0.57%
0.230552  0.017224  0.003971           1.17%
0.217091  0.016486  0.003579           1.06%
0.928285  0.021407  0.019872           5.87%
0.112283  0.015748  0.001768           0.52%
0.124618  0.018455  0.002300           0.68%
0.285669  0.016240  0.004639           1.37%
0.127344  0.021407  0.002726           0.81%
0.220390  0.023130  0.005098           1.51%
0.912039  0.019193  0.017505           5.17%
0.202642  0.015502  0.003141           0.93%
0.390083  0.014272  0.005567           1.64%
0.807455  0.017224  0.013908           4.11%
0.314605  0.017963  0.005651           1.67%
0.374899  0.013287  0.004981           1.47%
0.269949  0.011811  0.003188           0.94%
0.301011  0.008120  0.002444           0.72%
0.346746  0.010581  0.003669           1.08%
0.450237  0.007628  0.003434           1.01%
0.286511  0.007382  0.002115           0.62%
0.542804  0.004675  0.002538           0.75%
0.414587  0.005659  0.002346           0.69%
0.592771  0.006644  0.003938           1.16%
0.614344  0.006890  0.004233           1.25%
0.448320  0.004675  0.002096           0.62%
0.407184  0.005167  0.002104           0.62%
0.510575  0.002707  0.001382           0.41%
0.439025  0.007382  0.003241           0.96%
0.245171  0.003691  0.000905           0.27%
0.415846  0.002215  0.000921           0.27%
0.514900  0.002461  0.001267           0.37%
0.519692  0.001969  0.001023           0.30%
0.419457  0.001969  0.000826           0.24%
