ave_dist = 0.396858
KLDist  weight    KLDist*weight   Percent
1.005539  0.003142  0.003159           0.80%
0.770650  0.002658  0.002049           0.52%
0.946728  0.004350  0.004118           1.04%
0.977264  0.006042  0.005904           1.49%
0.988495  0.006283  0.006211           1.57%
1.012519  0.009425  0.009543           2.40%
0.782662  0.011358  0.008890           2.24%
1.088203  0.014741  0.016042           4.04%
1.045530  0.018366  0.019203           4.84%
1.157745  0.017883  0.020704           5.22%
0.954103  0.029966  0.028591           7.20%
1.119145  0.021991  0.024611           6.20%
1.014229  0.035041  0.035540           8.96%
0.457466  0.027550  0.012603           3.18%
0.734310  0.032624  0.023956           6.04%
0.222718  0.032141  0.007158           1.80%
0.302284  0.040841  0.012346           3.11%
0.228014  0.048816  0.011131           2.80%
0.182727  0.040841  0.007463           1.88%
0.099227  0.045674  0.004532           1.14%
0.109802  0.053166  0.005838           1.47%
0.112544  0.043983  0.004950           1.25%
0.078742  0.064524  0.005081           1.28%
0.145953  0.052441  0.007654           1.93%
0.160437  0.049541  0.007948           2.00%
0.201927  0.046641  0.009418           2.37%
0.088348  0.038666  0.003416           0.86%
0.326303  0.050991  0.016638           4.19%
0.125542  0.031658  0.003974           1.00%
1.032956  0.024891  0.025712           6.48%
0.328790  0.024891  0.008184           2.06%
0.270618  0.018850  0.005101           1.29%
0.895878  0.016433  0.014722           3.71%
0.373828  0.010875  0.004065           1.02%
0.308767  0.005558  0.001716           0.43%
0.760764  0.007492  0.005699           1.44%
0.188410  0.004108  0.000774           0.20%
0.302883  0.003142  0.000952           0.24%
0.522576  0.002417  0.001263           0.32%
