1 0.455 0.365 0.095
1 0.35 0.265 0.09
2 0.53 0.42 0.135
1 0.44 0.365 0.125
3 0.33 0.255 0.08
3 0.425 0.3 0.095
2 0.53 0.415 0.15
2 0.545 0.425 0.125
1 0.475 0.37 0.125
2 0.55 0.44 0.15
2 0.525 0.38 0.14
1 0.43 0.35 0.11
1 0.49 0.38 0.135
2 0.535 0.405 0.145
2 0.47 0.355 0.1
1 0.5 0.4 0.13
3 0.355 0.28 0.085
2 0.44 0.34 0.1
1 0.365 0.295 0.08
1 0.45 0.32 0.1
1 0.355 0.28 0.095
3 0.38 0.275 0.1
2 0.565 0.44 0.155
2 0.55 0.415 0.135
2 0.615 0.48 0.165
2 0.56 0.44 0.14
2 0.58 0.45 0.185
1 0.59 0.445 0.14
1 0.605 0.475 0.18
1 0.575 0.425 0.14
1 0.58 0.47 0.165
2 0.68 0.56 0.165
1 0.665 0.525 0.165
2 0.68 0.55 0.175
2 0.705 0.55 0.2
1 0.465 0.355 0.105
2 0.54 0.475 0.155
2 0.45 0.355 0.105
2 0.575 0.445 0.135
1 0.355 0.29 0.09
2 0.45 0.335 0.105
2 0.55 0.425 0.135
3 0.24 0.175 0.045
3 0.205 0.15 0.055
3 0.21 0.15 0.05
3 0.39 0.295 0.095
1 0.47 0.37 0.12
2 0.46 0.375 0.12
3 0.325 0.245 0.07
2 0.525 0.425 0.16
3 0.52 0.41 0.12
1 0.4 0.32 0.095
1 0.485 0.36 0.13
2 0.47 0.36 0.12
1 0.405 0.31 0.1
2 0.5 0.4 0.14
1 0.445 0.35 0.12
1 0.47 0.385 0.135
3 0.245 0.19 0.06
2 0.505 0.4 0.125
1 0.45 0.345 0.105
1 0.505 0.405 0.11
2 0.53 0.41 0.13
1 0.425 0.325 0.095
1 0.52 0.4 0.12
1 0.475 0.355 0.12
2 0.565 0.44 0.16
2 0.595 0.495 0.185
2 0.475 0.39 0.12
3 0.31 0.235 0.07
1 0.555 0.425 0.13
2 0.4 0.32 0.11
2 0.595 0.475 0.17
1 0.57 0.48 0.175
2 0.605 0.45 0.195
2 0.6 0.475 0.15
1 0.595 0.475 0.14
2 0.6 0.47 0.15
2 0.555 0.425 0.14
2 0.615 0.475 0.17
2 0.575 0.445 0.14
1 0.62 0.51 0.175
2 0.52 0.425 0.165
1 0.595 0.475 0.16
1 0.58 0.45 0.14
2 0.57 0.465 0.18
1 0.625 0.465 0.14
1 0.56 0.44 0.16
2 0.46 0.355 0.13
2 0.575 0.45 0.16
1 0.565 0.425 0.135
1 0.555 0.44 0.15
1 0.595 0.465 0.175
2 0.625 0.495 0.165
1 0.695 0.56 0.19
1 0.665 0.535 0.195
1 0.535 0.435 0.15
1 0.47 0.375 0.13
1 0.47 0.37 0.13
2 0.475 0.375 0.125
3 0.36 0.265 0.095
1 0.55 0.435 0.145
1 0.53 0.435 0.16
1 0.53 0.415 0.14
1 0.605 0.47 0.16
2 0.52 0.41 0.155
2 0.545 0.43 0.165
2 0.5 0.4 0.125
2 0.51 0.39 0.135
2 0.435 0.395 0.105
1 0.495 0.395 0.125
1 0.465 0.36 0.105
3 0.435 0.32 0.08
1 0.425 0.35 0.105
2 0.545 0.41 0.125
2 0.53 0.415 0.115
2 0.49 0.375 0.135
1 0.44 0.34 0.105
2 0.56 0.43 0.15
1 0.405 0.305 0.085
2 0.47 0.365 0.105
3 0.385 0.295 0.085
2 0.515 0.425 0.14
1 0.37 0.265 0.075
3 0.36 0.28 0.08
3 0.27 0.195 0.06
3 0.375 0.275 0.09
3 0.385 0.29 0.085
1 0.7 0.535 0.16
1 0.71 0.54 0.165
1 0.595 0.48 0.165
2 0.44 0.35 0.125
2 0.325 0.26 0.09
3 0.35 0.26 0.095
3 0.265 0.2 0.065
2 0.425 0.33 0.115
2 0.305 0.23 0.08
1 0.345 0.255 0.09
2 0.405 0.325 0.11
1 0.375 0.285 0.095
2 0.565 0.445 0.155
2 0.55 0.45 0.145
1 0.65 0.52 0.19
1 0.56 0.455 0.155
1 0.475 0.375 0.13
2 0.49 0.38 0.125
1 0.46 0.35 0.12
3 0.28 0.205 0.08
3 0.175 0.13 0.055
3 0.17 0.13 0.095
1 0.59 0.475 0.145
2 0.605 0.5 0.185
2 0.635 0.515 0.19
2 0.605 0.485 0.16
2 0.565 0.45 0.135
1 0.515 0.405 0.13
2 0.575 0.46 0.19
1 0.645 0.485 0.215
2 0.58 0.455 0.17
2 0.575 0.46 0.165
1 0.605 0.465 0.165
2 0.605 0.485 0.16
1 0.61 0.485 0.175
2 0.725 0.56 0.21
2 0.65 0.545 0.23
1 0.725 0.57 0.19
2 0.725 0.575 0.175
2 0.68 0.57 0.205
1 0.705 0.56 0.22
2 0.68 0.515 0.175
1 0.695 0.55 0.215
2 0.53 0.395 0.145
1 0.525 0.435 0.155
2 0.52 0.405 0.115
3 0.235 0.16 0.04
3 0.36 0.26 0.09
3 0.315 0.21 0.06
3 0.315 0.245 0.085
3 0.225 0.16 0.045
1 0.58 0.475 0.15
1 0.57 0.48 0.18
1 0.64 0.51 0.175
2 0.56 0.45 0.16
2 0.62 0.475 0.175
2 0.645 0.51 0.2
1 0.62 0.49 0.19
2 0.63 0.48 0.15
2 0.63 0.5 0.185
2 0.63 0.48 0.16
2 0.585 0.46 0.17
1 0.615 0.48 0.18
1 0.61 0.485 0.17
1 0.58 0.45 0.15
3 0.355 0.275 0.085
2 0.51 0.4 0.14
1 0.5 0.405 0.155
2 0.505 0.41 0.15
1 0.64 0.5 0.185
1 0.56 0.45 0.16
1 0.585 0.46 0.185
2 0.45 0.345 0.12
1 0.5 0.4 0.165
2 0.5 0.4 0.145
2 0.53 0.435 0.17
1 0.42 0.335 0.115
2 0.44 0.34 0.14
3 0.4 0.3 0.11
3 0.435 0.34 0.11
2 0.525 0.415 0.17
3 0.37 0.28 0.095
2 0.49 0.365 0.145
1 0.335 0.25 0.09
2 0.415 0.325 0.105
1 0.5 0.405 0.14
2 0.485 0.395 0.16
1 0.55 0.405 0.14
1 0.45 0.35 0.13
3 0.405 0.3 0.12
1 0.47 0.36 0.135
2 0.415 0.305 0.13
2 0.445 0.325 0.125
2 0.47 0.35 0.145
2 0.49 0.375 0.15
2 0.445 0.355 0.15
3 0.425 0.38 0.105
2 0.5 0.37 0.135
2 0.39 0.29 0.125
3 0.365 0.27 0.085
2 0.58 0.465 0.165
2 0.53 0.415 0.16
1 0.555 0.445 0.135
1 0.565 0.44 0.175
1 0.625 0.505 0.215
3 0.275 0.215 0.075
3 0.44 0.35 0.135
3 0.295 0.225 0.08
3 0.075 0.055 0.01
3 0.13 0.1 0.03
3 0.11 0.09 0.03
3 0.16 0.12 0.035
1 0.565 0.425 0.16
3 0.27 0.2 0.07
3 0.23 0.175 0.065
3 0.3 0.23 0.08
3 0.33 0.255 0.085
3 0.35 0.26 0.085
3 0.32 0.245 0.08
3 0.36 0.275 0.085
3 0.305 0.245 0.075
3 0.345 0.27 0.11
3 0.33 0.25 0.105
1 0.59 0.47 0.18
2 0.595 0.455 0.155
2 0.575 0.46 0.185
1 0.6 0.495 0.165
1 0.56 0.45 0.175
1 0.56 0.45 0.185
1 0.545 0.46 0.16
2 0.635 0.505 0.17
2 0.59 0.475 0.16
2 0.54 0.475 0.155
2 0.57 0.44 0.125
1 0.53 0.42 0.165
3 0.245 0.195 0.06
1 0.27 0.2 0.08
2 0.46 0.38 0.13
1 0.52 0.45 0.15
1 0.35 0.275 0.11
1 0.47 0.39 0.15
2 0.45 0.36 0.125
2 0.64 0.525 0.215
1 0.59 0.5 0.2
1 0.62 0.485 0.205
1 0.63 0.505 0.225
1 0.63 0.515 0.155
1 0.655 0.54 0.215
2 0.66 0.53 0.185
1 0.61 0.5 0.24
1 0.635 0.525 0.205
2 0.515 0.425 0.135
2 0.535 0.415 0.185
3 0.36 0.285 0.105
2 0.455 0.355 0.12
1 0.485 0.395 0.14
1 0.515 0.38 0.175
2 0.535 0.415 0.17
1 0.53 0.435 0.155
2 0.495 0.4 0.155
1 0.44 0.355 0.125
2 0.535 0.435 0.16
1 0.54 0.435 0.18
2 0.565 0.505 0.21
1 0.61 0.475 0.165
2 0.565 0.455 0.175
1 0.6 0.495 0.195
3 0.295 0.215 0.085
3 0.275 0.205 0.075
3 0.28 0.21 0.085
1 0.49 0.395 0.14
1 0.37 0.28 0.105
2 0.405 0.305 0.095
2 0.54 0.435 0.175
1 0.37 0.28 0.1
1 0.36 0.27 0.1
2 0.47 0.36 0.13
3 0.2 0.145 0.06
3 0.165 0.12 0.03
1 0.645 0.515 0.24
1 0.55 0.41 0.125
1 0.57 0.435 0.145
2 0.63 0.485 0.19
1 0.56 0.44 0.14
1 0.595 0.455 0.195
2 0.62 0.47 0.2
1 0.63 0.485 0.175
3 0.45 0.355 0.11
2 0.635 0.535 0.19
1 0.45 0.35 0.1
2 0.58 0.455 0.155
3 0.33 0.255 0.095
3 0.265 0.21 0.06
3 0.19 0.145 0.04
1 0.385 0.31 0.1
3 0.265 0.205 0.07
1 0.335 0.265 0.105
3 0.355 0.275 0.09
3 0.32 0.255 0.1
1 0.51 0.4 0.13
1 0.36 0.295 0.105
3 0.36 0.28 0.09
1 0.5 0.38 0.155
2 0.4 0.325 0.12
3 0.3 0.22 0.08
3 0.235 0.175 0.04
2 0.74 0.6 0.195
1 0.62 0.465 0.19
1 0.6 0.475 0.19
1 0.59 0.45 0.185
1 0.62 0.475 0.185
2 0.565 0.45 0.195
1 0.575 0.455 0.145
2 0.62 0.51 0.205
1 0.62 0.465 0.185
2 0.505 0.375 0.18
2 0.46 0.425 0.155
1 0.49 0.39 0.14
2 0.525 0.42 0.16
3 0.34 0.26 0.08
3 0.375 0.305 0.115
1 0.61 0.48 0.15
2 0.61 0.495 0.185
2 0.585 0.45 0.17
1 0.57 0.46 0.14
1 0.58 0.455 0.17
1 0.635 0.515 0.17
1 0.7 0.58 0.205
1 0.675 0.525 0.185
2 0.645 0.525 0.19
1 0.745 0.585 0.215
2 0.685 0.545 0.18
1 0.605 0.49 0.18
2 0.59 0.465 0.15
2 0.65 0.525 0.175
2 0.6 0.48 0.15
2 0.62 0.5 0.175
1 0.63 0.515 0.16
1 0.58 0.465 0.145
2 0.58 0.455 0.12
1 0.63 0.49 0.18
2 0.69 0.56 0.215
2 0.65 0.545 0.165
2 0.66 0.565 0.195
2 0.68 0.58 0.2
2 0.7 0.575 0.17
1 0.685 0.52 0.15
2 0.675 0.545 0.195
1 0.63 0.49 0.19
2 0.585 0.45 0.16
1 0.565 0.465 0.175
2 0.61 0.495 0.185
1 0.605 0.47 0.18
1 0.535 0.42 0.145
1 0.485 0.4 0.135
1 0.47 0.375 0.12
1 0.545 0.425 0.135
2 0.455 0.37 0.105
1 0.54 0.42 0.155
1 0.46 0.38 0.135
1 0.49 0.42 0.125
3 0.465 0.375 0.12
3 0.415 0.325 0.1
1 0.475 0.375 0.125
2 0.47 0.375 0.125
3 0.365 0.295 0.095
3 0.345 0.275 0.095
3 0.39 0.31 0.1
2 0.5 0.395 0.14
1 0.47 0.38 0.145
1 0.535 0.44 0.15
1 0.585 0.455 0.15
2 0.485 0.365 0.12
1 0.515 0.455 0.135
